id	generation	major_rev	owned_by_id	name	item_number	classification	description
9ECC245B665D40CCAB34646ADAA2D137	1	B	DBA5D86402BF43D5976854B8B48FCDD1	Thing-O-Matic 2 Y Carriage Primary	MP2416	Component	
9EF3CD4874C6451E8166FFF2605BFB71	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Body Fan Assembly	MP2939	Assembly	
A0F354B0E35D441C8A14D648FC697567	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Resistor 6.8K	MP3456	Component	Resistor SMT 6.8K 5% 1/4W
A131DD7D3ED744648DB7E11DFED891EC	3	B	DBA5D86402BF43D5976854B8B48FCDD1	Thing-O-Matic Heater Board - bare board	MP3017	Component	
A142500C32E3426C88EF9ECF3CCDE1F4	1	C	DBA5D86402BF43D5976854B8B48FCDD1	Thing-O-Matic 2 Z Arm	MP2417	Component	
A20C4A204DD148CD956CB8C0EDC5B33E	2	A	DBA5D86402BF43D5976854B8B48FCDD1	Filament Assembly	P8906		
A251369967D4449689A8BF6871FF4A88	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Header .156"	MP3986	Component	a high power header connector
A322282BD2B34FCAB8B33564096C53C7	1	B	DBA5D86402BF43D5976854B8B48FCDD1	Spacer Black 1-16 in length 5mm ID 7mm OD	MP2665	Component	
A440E01B301743FFA157D78C9B4BA680	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Capacitor 100uF	MP3763	Component	Chip tantalum capacitors (Bottom surface electrode type : Large capacitance) TCT Series P Case
A456BC07346E4A789C459B6BBF26714A	1	B	DBA5D86402BF43D5976854B8B48FCDD1	M3 Thumb Nuts	MP2459	Component	
A48FFEC7AA934538BA6AE4099C0CEDFF	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Washer 0.355 46mm Thk 3.175mm ID 7.95mm OD	MP2690	Component	
A52C0F9ECB3A4CC49E4EEED2024FD08F	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Resistor 0K	MP3817	Component	Resistor 0ohms 5% 1/1W
A80E5813B46441C894DBB5D55C0EA39F	1	A	DBA5D86402BF43D5976854B8B48FCDD1	LED Red	MP3967	Component	SMT - RED, GREEN, YELLOW, AMBER GaAs LED
A8D5E839DF11472A86619F0E519134FE	2	A	DBA5D86402BF43D5976854B8B48FCDD1	Shipping	MP2961	Assembly	
